poison_ratio,n_models,poisoned_share,silhouette_mean,silhouette_std,flag_rate,tpr,fpr,auc_vs_clean,suspect_frac_mean,poison_in_suspect_mean,asr_mean
0.0,5,0.0,0.3485,0.0342,0.0,,0.0,,0.4249,,0.1988
0.01,5,0.00083,0.3453,0.0338,0.0,0.0,,0.44,0.426,0.238,0.3542
0.05,5,0.00422,0.3498,0.0348,0.0,0.0,,0.48,0.4231,0.192,0.4692
0.1,5,0.00845,0.3505,0.0344,0.0,0.0,,0.48,0.4231,0.1921,0.4958
0.3,5,0.02495,0.3491,0.0421,0.0,0.0,,0.48,0.4222,0.1852,0.5284
# calibrated_threshold,0.4082
# calibration_seeds,100-109
# trigger,inbounds_free
